broker,share
unknown,0.02882065185359816
kevin matyas,0.01779925738197678
haring immobilien treuhand gmbh,0.01744562975187128
julian kukacka,0.013025284375552544
mag. fh thomas schwarz,0.012318029115341545
samir agha-schantl,0.01172864973183238
sabrina najjar,0.0110803324099723
dolores markovic,0.010785642718217716
benjamin pippan,0.010373077149761302
clemens dostal,0.010255201273059468
di birgita ehrenberger,0.009017504567690222
elisabeth papsch & sonja kaspar,0.008192373430777392
martin steininger,0.007956621677373725
daniel bolataschwili,0.007661931985619143
ilse reindl,0.007661931985619143
crownd estates service,0.007131490540460895
michele ancona,0.007131490540460895
anna gasienica-fronek,0.007072552602109978
frau sonja kaspar & frau elisabeth papsch,0.006718924972004479
raiffeisen eigentum wohnung,0.00654211115695173
raiffeisen vorsorge wohnung,0.006424235280249897
alexander breinhölder,0.00636529734189898
christian patronas,0.00636529734189898
ehsan karimian,0.006247421465197148
luca schelodetz,0.006129545588495314
wolfgang kucharik,0.005775917958389816
projektteam danubeflats,0.005716980020038899
edith krauss,0.005245476513231567
berend jäger,0.0050686626981788175
julie wittrich,0.0050686626981788175
nicolas putzlager,0.005009724759827901
glorit verkaufsteam,0.0048329109447751515
pia bernard,0.004773973006424235
timo kohlweiss,0.004715035068073319
lydia knam,0.004656097129722403
petra krapfenbauer,0.004656097129722403
sabine berger,0.004420345376318737
christoph kolar,0.00436140743796782
engel & völkers wien mmc,0.004243531561265987
kevin gödel,0.0041845936229150706
phillip pölt,0.0041845936229150706
clemens gamper,0.0041845936229150706
mag. nicole schuster,0.0041845936229150706
tsvetilena galabinova,0.004125655684564154
alissa zwickelstorfer,0.004066717746213237
mag. michael schwabe,0.004066717746213237
ing. francis broinger,0.003889903931160488
mischek bauträger service gmbh,0.0037720280544586552
david-gabriel hösch,0.0037130901161077385
david plishtiev,0.003654152177756822
ihr valmacor team,0.003654152177756822
manuel wagner,0.0035952142394059055
mag. (fh) ingrid neugebauer,0.0035952142394059055
fabian doll,0.0035952142394059055
johanna obkircher,0.0035952142394059055
mag. christian leikam,0.0035952142394059055
"ike richson, bsc (wu)",0.0034773383627040725
benedikt wawra,0.003418400424353156
thomas kopatsch,0.003418400424353156
"learco andrea tews, msc (wu)",0.0033594624860022394
philipp schneider,0.003241586609300407
avana real estate gmbh,0.003123710732598574
geiger immobilien verkaufsteam,0.003123710732598574
benjamin marinkovic,0.003123710732598574
aleksandar mihajlovic,0.003064772794247657
alessandro hodosi,0.003005834855896741
wohngut immobiliengruppe,0.003005834855896741
alexander höchtl,0.003005834855896741
steindl & herzel immobilien,0.002946896917545824
simone müller und christian bernleithner,0.002946896917545824
eva-maria pichler,0.002946896917545824
doris kurzweil,0.002946896917545824
ferdinand stubenvoll,0.002946896917545824
christopher marton,0.002770083102493075
georg mels-colloredo,0.002770083102493075
nicolas büttner,0.002770083102493075
bianca benesch,0.0027111451641421585
frau sonja kaspar und herr massimo saccomanno,0.0027111451641421585
mario häring,0.0027111451641421585
david gabriel hösch,0.0026522072257912418
philipp kraus,0.0026522072257912418
lucas carlsen,0.0026522072257912418
alexandru filimon,0.0026522072257912418
"maximilian michael zillner, mba",0.0025932692874403255
sebastian scheuermann,0.0025932692874403255
galyna boiko,0.0025932692874403255
dr. milana isacharov,0.0025932692874403255
marie-louise eisenburger,0.0025932692874403255
vanessa hassler,0.0025932692874403255
ihsan poyraz,0.0025343313490894088
team tristar,0.0025343313490894088
dominik kirschner,0.0025343313490894088
prok. walter mitterstöger,0.0025343313490894088
sabine kolb,0.0024753934107384925
alexandra kraus,0.0024753934107384925
jasmin heida,0.0024753934107384925
gerhard klein,0.0024164554723875757
martin dreisiebner,0.0024164554723875757
gabriele kapoun,0.0024164554723875757
mag. patrizia hunter-kornherr,0.0023575175340366595
optin - caroline asen / david breitwieser,0.0023575175340366595
tatiana hanzl,0.0023575175340366595
mag. nataliya maystruk,0.0023575175340366595
cathrin markiewicz,0.0022985795956857427
jochen schön,0.0022985795956857427
mag. mariya stazic,0.0022985795956857427
sercan kilic,0.0022985795956857427
rafaela simic b.a.,0.0022985795956857427
cornelia köhler,0.0022985795956857427
paul bichelhuber,0.0022396416573348264
daniel madile-daschütz,0.0022396416573348264
sara hufnagl,0.0022396416573348264
mmag. andreas staudinger,0.0022396416573348264
isabella jindracek,0.00218070371898391
christoph kral,0.00218070371898391
david aleksic,0.0021217657806329934
aleksandar jankuloski,0.0021217657806329934
claudia sailer,0.0021217657806329934
peter hanke,0.002062827842282077
michael hellebrand,0.002062827842282077
ihr deck zehn vertriebsteam,0.002062827842282077
iman ajdari,0.002062827842282077
jana cocoglia,0.002062827842282077
martin wicho,0.0020038899039311604
mag. viktoria peter,0.0020038899039311604
daniel hartmann,0.001944951965580244
claus loidolt,0.001944951965580244
valentina krauss akad. m&s wu,0.001944951965580244
"ba, ma magdalena mayerhofer",0.0018860140272293276
mona taghavi,0.0018860140272293276
christina radel,0.0018860140272293276
dipl.ing. arancha traub-swittalek,0.001827076088878411
simone unger-ullmann,0.001827076088878411
wiener immobilien real estate,0.001827076088878411
rafael karschigijew,0.0017681381505274946
rene motamedi,0.0017681381505274946
helmut strempfl,0.0017681381505274946
melanie gumpinger,0.0017681381505274946
mag. heinrich birnleitner,0.0017681381505274946
daniela schachinger,0.001709200212176578
andrea eggenberger,0.001709200212176578
mag. hanna herzenstein,0.001709200212176578
vladimir adamovic,0.001709200212176578
quartier neue mitte,0.001709200212176578
katharina klasan,0.001709200212176578
betül cakmak,0.001709200212176578
di constantin mayer,0.001709200212176578
"dipl. ing., alexander lanner",0.0016502622738256616
amir oliver tarab,0.0016502622738256616
david achoonov,0.0016502622738256616
mcmakler team österreich,0.0016502622738256616
elisabeth karoly,0.0016502622738256616
team caroline asen / david breitwieser,0.001591324335474745
mag. jelena pirker,0.001591324335474745
michael schlaffer,0.001591324335474745
susanne müller,0.001591324335474745
stanislaus rohr,0.001591324335474745
david hösch,0.001591324335474745
reas immobilien reas realitäten asmus gmbh,0.001591324335474745
nikola todorovic,0.001591324335474745
maja arsic,0.001591324335474745
patrick bermann,0.0015323863971238286
milica iskic,0.0015323863971238286
leywand wohnen im nordbahnviertel,0.0015323863971238286
hubert koller,0.0015323863971238286
marlies sprinzl,0.0015323863971238286
mahyar bozorg,0.0015323863971238286
hamed mirzaei,0.0015323863971238286
julian himmelbauer,0.0015323863971238286
yildiz maria kabourek,0.001473448458772912
patrick winkler,0.001473448458772912
consulting company,0.001473448458772912
philipp buchholtz,0.001473448458772912
baris basaran,0.001473448458772912
deniz canakli,0.001473448458772912
"mag. philipp sedlar, mba",0.0014145105204219955
sia hyatt,0.0014145105204219955
andrea pöchhacker; msc,0.0014145105204219955
mag. michaela sauer,0.0014145105204219955
asw immobilien service & consulting gmbh firmensitz wien,0.0014145105204219955
alexander jaksch,0.0014145105204219955
bernhard stachl,0.0014145105204219955
jeremy feist,0.0013555725820710793
gabriele bors,0.0013555725820710793
anita bayer,0.0013555725820710793
milica cvetkovic,0.0013555725820710793
value one,0.0013555725820710793
ps immo,0.0013555725820710793
mag. michael skolet,0.0013555725820710793
"dejan cvetkovic,dipl.bo",0.0012966346437201627
mag. (fh) markus verner,0.0012966346437201627
sabine anzeletti,0.0012966346437201627
frau elisabeth papsch und herr massimo saccomanno,0.0012966346437201627
alexander hamersky,0.0012966346437201627
maria kohler,0.0012966346437201627
mariella gruber,0.0012966346437201627
elijah euler-rolle,0.0012376967053692462
laurenz schnitzer,0.0012376967053692462
dominik wurm-beinhofer,0.0012376967053692462
dr. claudia bonk,0.0012376967053692462
mag. marina eiffe,0.0012376967053692462
maximilian schandl,0.0012376967053692462
