link;title;address;price;m2;num_rooms
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1100-favoriten/2-zimmer-genossenschaftswohnung-weitergabe-sozialbau-2078310873/;2 Zimmer Genossenschaftswohnung Weitergabe - Sozialbau;1100 Wien, 10. Bezirk, Favoriten, Gußriegelstraße 34;€ 504,79;59 m²;2 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/naehe-augarten-68m-2-zimmer-820513073/;Nähe Augarten! 68m², 2 Zimmer;1020 Wien, 02. Bezirk, Leopoldstadt;€ 299.000;68 m²;2 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1090-alsergrund/gemuetliche-altbauwohnung-mit-stilvollem-balkon-1984169540/;Gemütliche Altbauwohnung mit stilvollem Balkon;1090 Wien, 09. Bezirk, Alsergrund;€ 415.000;43 m²;2 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1100-favoriten/-q18-sanierungsbeduerftige-1-zimmer-altbauwohnung-887268012/;++Q18++ sanierungsbedürftige 1-Zimmer Altbauwohnung;1100 Wien, 10. Bezirk, Favoriten, Quellenstraße;€ 89.000;29 m²;1 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1100-favoriten/-q18-sanierungsbeduerftige-1-zimmer-altbauwohnung-2121230162/;++Q18++ sanierungsbedürftige 1-Zimmer Altbauwohnung;1100 Wien, 10. Bezirk, Favoriten, Quellenstraße;€ 95.000;30 m²;1 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1100-favoriten/-q18-sanierungsbeduerftige-3-zimmer-altbauwohnung-viel-potenzial-816972682/;++Q18++ sanierungsbedürftige 3-Zimmer Altbauwohnung, viel Potenzial;1100 Wien, 10. Bezirk, Favoriten, Quellenstraße;€ 189.000;65 m²;3 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1100-favoriten/-q18-sanierungsbeduerftige-1-zimmer-altbauwohnung-1136822086/;++Q18++ sanierungsbedürftige 1-Zimmer Altbauwohnung;1100 Wien, 10. Bezirk, Favoriten, Quellenstraße;€ 99.000;31 m²;1 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1100-favoriten/-q18-sanierungsbeduerftige-2-5-zimmer-altbauwohnung-viel-potenzial-1274584664/;++Q18++ sanierungsbedürftige 2,5-Zimmer Altbauwohnung, viel Potenzial;1100 Wien, 10. Bezirk, Favoriten, Quellenstraße;€ 169.000;60 m²;2 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1190-doebling/-hochwertig-renovierte-stilvolle-altbauwohnung-edel-bezirk-ruhig-lichtdurchflutet-blick-ins-gruene-1465494051/;** HOCHWERTIG RENOVIERTE, STILVOLLE ALTBAUWOHNUNG ** EDEL-BEZIRK ** RUHIG ** LICHTDURCHFLUTET ** BLICK INS GRÜNE **;1190 Wien, 19. Bezirk, Döbling;€ 360.000;55 m²;2 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1190-doebling/altbau-chick-vom-architekten-modernisiert-nahe-setagayapark-und-wertheimsteinpark-mit-garagenstellplatz-2113190222/;Altbau-Chick * Vom Architekten modernisiert * Nahe Setagayapark und Wertheimsteinpark * Mit Garagenstellplatz!;1190 Wien, 19. Bezirk, Döbling, Barawitzkagasse;€ 579.000;111 m²;5 Zimmer;Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1190-doebling/modernisierte-4-zimmerwohnung-mit-20m-balkon-1890222142/;Modernisierte 4-Zimmerwohnung mit 20m² Balkon;1190 Wien, 19. Bezirk, Döbling, Greinergasse;€ 799.000;138 m²;4 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/alles-neu-super-geschnittene-4-z-wohnung-in-u-bahn-naehe-739901546/;ALLES NEU! Super geschnittene 4-Z-Wohnung in U-Bahn-Nähe!;1020 Wien, 02. Bezirk, Leopoldstadt;€ 649.000;84 m²;4 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1100-favoriten/top-2-zimmerwohnung-im-herzen-von-wien-1326760780/;TOP 2-Zimmerwohnung im Herzen von Wien !!!;1100 Wien, 10. Bezirk, Favoriten;€ 245.000;58 m²
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1030-landstrasse/provisionsfrei-erstbezug-29-stock-hell-ruhig-freifinanziertes-eigentum-8m-loggia-weitblick-726952029/;PROVISIONSFREI! ERSTBEZUG! 29. STOCK! HELL! RUHIG! FREIFINANZIERTES EIGENTUM! 8m² LOGGIA! WEITBLICK.;1030 Wien, 03. Bezirk, Landstraße, Döblerhofstraße 10;€ 379.800;50 m²;2 Zimmer;Balkon, Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/wohnung-in-absoluter-ruhelage-mit-gruenblick-und-tiefgarage-bestlage-direkt-beim-donauzentrum-u1-baurechtsgrund-jetzt-zuschlagen-1531700997/;Wohnung in absoluter Ruhelage mit Grünblick und Tiefgarage - Bestlage direkt beim Donauzentrum/U1 - Baurechtsgrund! - JETZT ZUSCHLAGEN;1220 Wien, 22. Bezirk, Donaustadt, Wagramer Straße 62;€ 299.000,25;50 m²;2 Zimmer;Balkon, Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1050-margareten/perfekte-starterwohnung-in-historischem-altbau-ruhelage-trotz-guter-anbindung-s-bahn-matzleinsdorfer-platz-jetzt-anfragen-1069114157/;Perfekte Starterwohnung in historischem Altbau - Ruhelage trotz guter Anbindung - S-Bahn Matzleinsdorfer Platz - JETZT ANFRAGEN;1050 Wien, 05. Bezirk, Margareten, Fendigasse 23;€ 350.000,44;65 m²;2 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/ruhepol-in-aspern-moderne-2-zimmer-wohnung-mit-charmanten-garten-u2-aspernstrasse-jetzt-zuschlagen-2004946278/;Ruhepol in Aspern - Moderne 2-Zimmer Wohnung mit charmanten Garten - U2 Aspernstraße! - JETZT ZUSCHLAGEN;1220 Wien, 22. Bezirk, Donaustadt;€ 425.000,25;56 m²;2 Zimmer;Terrasse, Garten
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1200-brigittenau/unbefristet-vermietete-wohnung-bei-der-u4-friedensbrueck-donaukanal-im-charmanten-gruenderzeithaus-wohntraum-1791317117/;Unbefristet vermietete Wohnung bei der U4-Friedensbrück/Donaukanal im charmanten Gründerzeithaus. - WOHNTRAUM;1200 Wien, 20. Bezirk, Brigittenau, Kluckygasse 7;€ 120.000,71;26 m²;1 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1140-penzing/-einmalige-gelegenheit-sanierte-1-zimmer-wohnung-jetzt-anfragen-2046585159/;*Einmalige Gelegenheit!* Sanierte 1 Zimmer Wohnung - JETZT ANFRAGEN;1140 Wien, 14. Bezirk, Penzing, Missindorfstraße 28;€ 165.000,18;43 m²;1 Zimmer
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1090-alsergrund/moderner-erstbezug-mit-grosszuegigem-balkon-1724493751/;Moderner Erstbezug mit großzügigem Balkon;1090 Wien, 09. Bezirk, Alsergrund;€ 390.000;39 m²;2 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-zuschlagen-2036355704/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei! - JETZT ZUSCHLAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 1.099.000,63;123 m²;5 Zimmer;Terrasse, Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-wohntraum-924153404/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei. - WOHNTRAUM;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 308.584,50;52 m²;2 Zimmer;Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-anfragen-1619606716/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 308.680,32;50 m²;2 Zimmer;Balkon, Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-wohntraum-810843525/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei. - WOHNTRAUM;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 480.483,75;80 m²;3 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-anfragen-1334523670/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 284.540,52;50 m²;2 Zimmer;Balkon, Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-anfragen-952512157/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 285.304,27;52 m²;2 Zimmer;Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-anfragen-1727137932/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 262.150,01;50 m²;2 Zimmer;Balkon, Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-anfragen-1473979624/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 359.919,64;67 m²;2 Zimmer;Balkon, Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-anfragen-928314099/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 279.950,02;56 m²;2 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-zuschlagen-1715943578/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei! - JETZT ZUSCHLAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 298.850,17;60 m²;2 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-wohntraum-1587124768/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei. - WOHNTRAUM;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 274.330,76;53 m²;2 Zimmer;Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-anfragen-1574233760/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 293.950,22;53 m²;2 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-zuschlagen-1875768145/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei! - JETZT ZUSCHLAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 296.795,37;55 m²;2 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-wohntraum-1925455639/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei. - WOHNTRAUM;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 324.850,77;60 m²;2 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-zuschlagen-781004806/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei! - JETZT ZUSCHLAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 298.750,57;52 m²;2 Zimmer;Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-anfragen-1818015430/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 284.451,34;51 m²;2 Zimmer;Balkon, Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-zuschlagen-996679070/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei! - JETZT ZUSCHLAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 309.835,23;62 m²;2 Zimmer;Balkon, Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-zuschlagen-1491488205/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei! - JETZT ZUSCHLAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 264.990,89;53 m²;2 Zimmer;Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-wohntraum-1733852914/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei. - WOHNTRAUM;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 262.150,14;50 m²;2 Zimmer;Balkon, Loggia
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/leo-am-teich-ihr-wohntraum-am-wasser-provisionsfrei-jetzt-anfragen-2009969622/;Leo am Teich - Ihr Wohntraum am Wasser - Provisionsfrei - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Edith Kramer Weg 11;€ 501.417,88;80 m²;3 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/erstbezug-ein-glaeschen-wein-auf-ihrem-suedseitigen-balkon-geniessen-glasfronten-dachgaerten-garage-jetzt-zuschlagen-993234274/;Erstbezug! Ein Gläschen Wein auf Ihrem südseitigen Balkon genießen! Glasfronten! Dachgärten! Garage! - JETZT ZUSCHLAGEN;1220 Wien, 22. Bezirk, Donaustadt, Am Krautgarten 15;€ 383.900,88;60 m²;2 Zimmer;Terrasse
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/erstbezug-ein-glaeschen-wein-auf-ihrem-westseitigen-balkon-geniessen-glasfronten-dachgaerten-garage-jetzt-anfragen-1557665528/;Erstbezug! Ein Gläschen Wein auf Ihrem westseitigen Balkon genießen! Glasfronten! Dachgärten! Garage! - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Am Krautgarten 15;€ 389.900,48;72 m²;2 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/ein-glaeschen-wein-auf-ihrem-suedseitigen-balkon-geniessen-erstbezug-glasfronten-dachgaerten-garage-jetzt-anfragen-wohntraum-1326238298/;Ein Gläschen Wein auf Ihrem südseitigen Balkon genießen! Erstbezug! Glasfronten! Dachgärten! Garage!! JETZT ANFRAGEN. - WOHNTRAUM;1220 Wien, 22. Bezirk, Donaustadt, Am Krautgarten 15;€ 446.900,43;66 m²;3 Zimmer;Terrasse
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/ein-glaeschen-wein-auf-ihrem-westseitigen-balkon-geniessen-erstbezug-glasfronten-dachgaerten-garage-jetzt-anfragen-1478288158/;Ein Gläschen Wein auf Ihrem westseitigen Balkon genießen! Erstbezug! Glasfronten! Dachgärten! Garage - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Am Krautgarten 15;€ 399.900,84;75 m²;2 Zimmer;Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/luxury-living-glasfronten-dachgaerten-garage-ostseitig-fussbodenheizung-elektr-aussenrollos-jetzt-anfragen-993837110/;Luxury Living! Glasfronten! Dachgärten! Garage! Ostseitig! Fußbodenheizung! Elektr. Außenrollos - JETZT ANFRAGEN;1220 Wien, 22. Bezirk, Donaustadt, Am Krautgarten 15;€ 349.900,49;63 m²;3 Zimmer;Terrasse, Balkon
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1220-donaustadt/erfuellen-sie-sich-ihren-wohntraum-in-top-lage-u-bahn-naehe-familienhit-wohntraum-1577543689/;ERFÜLLEN SIE SICH IHREN WOHNTRAUM IN TOP LAGE - U-BAHN-NÄHE - FAMILIENHIT. - WOHNTRAUM;1220 Wien, 22. Bezirk, Donaustadt, Donaufelder Straße 205;€ 699.000,88;119 m²;4 Zimmer;Terrasse, Balkon, Loggia, Garten
https://www.willhaben.at/iad/immobilien/d/eigentumswohnung/wien/wien-1020-leopoldstadt/4-zimmer-wohnung-naehe-augarten-unbefristet-vermietet-1889869676/;4- ZIMMER WOHNUNG / NÄHE AUGARTEN (UNBEFRISTET VERMIETET);1020 Wien, 02. Bezirk, Leopoldstadt, Pillersdorfgasse;€ 349.000;107 m²;4 Zimmer
